person,step,ok,seconds
Abdullah_Gul,enroll,1,0.32326961
Abdullah_Gul,as_req,1,0.31326103
Abdullah_Gul,tgs,1,0.00413537
Abdullah_Gul,ap_req,1,0.00142145
Adrien_Brody,enroll,1,0.31580925
Adrien_Brody,as_req,1,0.30650139
Adrien_Brody,tgs,1,0.00466847
Adrien_Brody,ap_req,1,0.00173736
Al_Gore,enroll,1,0.31853557
Al_Gore,as_req,1,0.30137110
Al_Gore,tgs,1,0.00460911
Al_Gore,ap_req,1,0.00162983
Al_Sharpton,enroll,1,0.32216024
Al_Sharpton,as_req,1,0.30700803
Al_Sharpton,tgs,1,0.00461578
Al_Sharpton,ap_req,1,0.00163817
Albert_Costa,enroll,1,0.32039857
Albert_Costa,as_req,1,0.30372810
Albert_Costa,tgs,1,0.00461721
Albert_Costa,ap_req,1,0.00156665
Alejandro_Toledo,enroll,1,0.31652737
Alejandro_Toledo,as_req,1,0.30562758
Alejandro_Toledo,tgs,1,0.00444746
Alejandro_Toledo,ap_req,1,0.00153375
Ali_Naimi,enroll,1,0.31896544
Ali_Naimi,as_req,1,0.30290055
Ali_Naimi,tgs,1,0.00437665
Ali_Naimi,ap_req,1,0.00152397
Alvaro_Uribe,enroll,1,0.31473994
Alvaro_Uribe,as_req,1,0.30992556
Alvaro_Uribe,tgs,1,0.00438190
Alvaro_Uribe,ap_req,1,0.00146461
Amelia_Vega,enroll,1,0.32109833
Amelia_Vega,as_req,0,0.00473976
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,enroll,1,0.32697272
Amelie_Mauresmo,as_req,1,0.30615711
Amelie_Mauresmo,tgs,1,0.00455379
Amelie_Mauresmo,ap_req,1,0.00159001
