scheme,concurrency,p50_ms,p90_ms,p99_ms,qps,msg_bytes
ours,10,8920.65015450,9297.77068751,9543.47761924,0.66806647,2902
ours,50,42158.18922950,43371.14410170,43643.52587468,0.67392268,2905
oauth,10,0.00056200,0.00131770,0.00411602,51366.13371680,115
oauth,50,0.00096550,0.00160310,0.00211412,18389.90497854,115
#meta {"seed": 20260817, "mode": "quick", "n_req": 50, "concurrency": [10, 50], "measurement_mode": "python_thread_loopback_microbenchmark"}
