person,step,ok,seconds
Abdullah_Gul,enroll,1,0.28580832
Abdullah_Gul,as_req,1,0.27877021
Abdullah_Gul,tgs,1,0.00390434
Abdullah_Gul,ap_req,1,0.00133324
Adrien_Brody,enroll,1,0.28288674
Adrien_Brody,as_req,1,0.26729679
Adrien_Brody,tgs,1,0.00362730
Adrien_Brody,ap_req,1,0.00125933
Al_Gore,enroll,1,0.27644968
Al_Gore,as_req,1,0.26465297
Al_Gore,tgs,1,0.00364304
Al_Gore,ap_req,1,0.00125194
Al_Sharpton,enroll,1,0.27598023
Al_Sharpton,as_req,1,0.26746440
Al_Sharpton,tgs,1,0.00365901
Al_Sharpton,ap_req,1,0.00124407
Albert_Costa,enroll,1,0.27662587
Albert_Costa,as_req,1,0.26714921
Albert_Costa,tgs,1,0.00378919
Albert_Costa,ap_req,1,0.00127792
Alejandro_Toledo,enroll,1,0.28083611
Alejandro_Toledo,as_req,1,0.26719522
Alejandro_Toledo,tgs,1,0.00374341
Alejandro_Toledo,ap_req,1,0.00127888
Ali_Naimi,enroll,1,0.28032589
Ali_Naimi,as_req,1,0.26718259
Ali_Naimi,tgs,1,0.00367188
Ali_Naimi,ap_req,1,0.00125766
Alvaro_Uribe,enroll,1,0.27909279
Alvaro_Uribe,as_req,1,0.26742268
Alvaro_Uribe,tgs,1,0.00372791
Alvaro_Uribe,ap_req,1,0.00125813
Amelia_Vega,enroll,1,0.27865863
Amelia_Vega,as_req,0,0.00409174
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,enroll,1,0.27925014
Amelie_Mauresmo,as_req,1,0.27705884
Amelie_Mauresmo,tgs,1,0.00372982
Amelie_Mauresmo,ap_req,1,0.00126863
