person,step,ok,seconds
Abdullah_Gul,enroll,1,0.28968740
Abdullah_Gul,as_req,1,0.27762556
Abdullah_Gul,tgs,1,0.00399065
Abdullah_Gul,ap_req,1,0.00139523
Adrien_Brody,enroll,1,0.28380275
Adrien_Brody,as_req,1,0.27259421
Adrien_Brody,tgs,1,0.00371957
Adrien_Brody,ap_req,1,0.00126672
Al_Gore,enroll,1,0.28118610
Al_Gore,as_req,1,0.26918435
Al_Gore,tgs,1,0.00369668
Al_Gore,ap_req,1,0.00126624
Al_Sharpton,enroll,1,0.28324914
Al_Sharpton,as_req,1,0.27345157
Al_Sharpton,tgs,1,0.00376987
Al_Sharpton,ap_req,1,0.00127840
Albert_Costa,enroll,1,0.28222251
Albert_Costa,as_req,1,0.27581525
Albert_Costa,tgs,1,0.00388718
Albert_Costa,ap_req,1,0.00131369
Alejandro_Toledo,enroll,1,0.28334546
Alejandro_Toledo,as_req,1,0.27139592
Alejandro_Toledo,tgs,1,0.00407624
Alejandro_Toledo,ap_req,1,0.00137544
Ali_Naimi,enroll,1,0.28711414
Ali_Naimi,as_req,1,0.27290273
Ali_Naimi,tgs,1,0.00407410
Ali_Naimi,ap_req,1,0.00146604
Alvaro_Uribe,enroll,1,0.28669000
Alvaro_Uribe,as_req,1,0.27179670
Alvaro_Uribe,tgs,1,0.00401306
Alvaro_Uribe,ap_req,1,0.00136757
Amelia_Vega,enroll,1,0.28647614
Amelia_Vega,as_req,0,0.00400567
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,enroll,1,0.28875184
Amelie_Mauresmo,as_req,1,0.28502631
Amelie_Mauresmo,tgs,1,0.00396824
Amelie_Mauresmo,ap_req,1,0.00143003
Ana_Guevara,enroll,1,0.28973269
Ana_Guevara,as_req,1,0.27886605
Ana_Guevara,tgs,1,0.00383353
Ana_Guevara,ap_req,1,0.00142097
Ana_Palacio,enroll,1,0.29132771
Ana_Palacio,as_req,1,0.27666569
Ana_Palacio,tgs,1,0.00409746
Ana_Palacio,ap_req,1,0.00144935
Andre_Agassi,enroll,1,0.28998637
Andre_Agassi,as_req,1,0.27623034
Andre_Agassi,tgs,1,0.00422478
Andre_Agassi,ap_req,1,0.00140023
Andy_Roddick,enroll,1,0.29069710
Andy_Roddick,as_req,1,0.27472925
Andy_Roddick,tgs,1,0.00403380
Andy_Roddick,ap_req,1,0.00139523
Angela_Bassett,enroll,1,0.28955817
Angela_Bassett,as_req,1,0.27273130
Angela_Bassett,tgs,1,0.00425124
Angela_Bassett,ap_req,1,0.00150704
Angelina_Jolie,enroll,1,0.29148626
Angelina_Jolie,as_req,1,0.27417827
Angelina_Jolie,tgs,1,0.00411201
Angelina_Jolie,ap_req,1,0.00139022
Ann_Veneman,enroll,1,0.28970265
Ann_Veneman,as_req,1,0.27500248
Ann_Veneman,tgs,1,0.00416422
Ann_Veneman,ap_req,1,0.00143385
Anna_Kournikova,enroll,1,0.29589629
Anna_Kournikova,as_req,0,0.00415349
Anna_Kournikova,tgs,0,0.00000000
Anna_Kournikova,ap_req,0,0.00000000
Antonio_Palocci,enroll,1,0.29122329
Antonio_Palocci,as_req,1,0.27735186
Antonio_Palocci,tgs,1,0.00409174
Antonio_Palocci,ap_req,1,0.00141549
Ari_Fleischer,enroll,1,0.29027128
Ari_Fleischer,as_req,1,0.27564549
Ari_Fleischer,tgs,1,0.00409269
Ari_Fleischer,ap_req,1,0.00138450
Ariel_Sharon,enroll,1,0.29468942
Ariel_Sharon,as_req,1,0.27423358
Ariel_Sharon,tgs,1,0.00396562
Ariel_Sharon,ap_req,1,0.00136876
Arminio_Fraga,enroll,1,0.29424953
Arminio_Fraga,as_req,1,0.26968384
Arminio_Fraga,tgs,1,0.00411510
Arminio_Fraga,ap_req,1,0.00140858
Arnold_Schwarzenegger,enroll,1,0.28364611
Arnold_Schwarzenegger,as_req,0,0.00399137
Arnold_Schwarzenegger,tgs,0,0.00000000
Arnold_Schwarzenegger,ap_req,0,0.00000000
Atal_Bihari_Vajpayee,enroll,1,0.28979611
Atal_Bihari_Vajpayee,as_req,0,0.00428748
Atal_Bihari_Vajpayee,tgs,0,0.00000000
Atal_Bihari_Vajpayee,ap_req,0,0.00000000
Ben_Affleck,enroll,1,0.28401947
Ben_Affleck,as_req,1,0.27111030
Ben_Affleck,tgs,1,0.00377893
Ben_Affleck,ap_req,1,0.00128508
Bill_Clinton,enroll,1,0.28781819
Bill_Clinton,as_req,1,0.27403092
Bill_Clinton,tgs,1,0.00405765
Bill_Clinton,ap_req,1,0.00139260
Bill_Frist,enroll,1,0.28512502
Bill_Frist,as_req,1,0.27288127
Bill_Frist,tgs,1,0.00413704
Bill_Frist,ap_req,1,0.00142264
Bill_Gates,enroll,1,0.28866649
Bill_Gates,as_req,1,0.27686167
Bill_Gates,tgs,1,0.00401211
Bill_Gates,ap_req,1,0.00133562
Bill_Graham,enroll,1,0.28759384
Bill_Graham,as_req,1,0.27305293
Bill_Graham,tgs,1,0.00379348
Bill_Graham,ap_req,1,0.00136399
Bill_McBride,enroll,1,0.29150343
Bill_McBride,as_req,1,0.27367711
Bill_McBride,tgs,1,0.00375819
Bill_McBride,ap_req,1,0.00127840
