noise_type,n_attempts,krr_overall,sim_mean,krr_worst
gaussian,180,0.56111111,0.94505234,0.00000000
brightness,180,0.87222222,0.99284522,0.83333333
rotation,180,0.91111111,0.99502500,0.86666667
blur,180,0.70000000,0.87695516,0.23333333
occlusion,180,0.15555556,0.54659466,0.00000000
