person,step,ok,seconds
Abdullah_Gul,enroll,1,0.29572248
Abdullah_Gul,as_req,1,0.28136539
Abdullah_Gul,tgs,1,0.00368571
Abdullah_Gul,ap_req,1,0.00131059
Adrien_Brody,enroll,1,0.29384661
Adrien_Brody,as_req,1,0.27742052
Adrien_Brody,tgs,1,0.00399613
Adrien_Brody,ap_req,1,0.00138283
Al_Gore,enroll,1,0.30522466
Al_Gore,as_req,1,0.27874303
Al_Gore,tgs,1,0.00396848
Al_Gore,ap_req,1,0.00144958
Al_Sharpton,enroll,1,0.28511906
Al_Sharpton,as_req,1,0.27427244
Al_Sharpton,tgs,1,0.00397611
Al_Sharpton,ap_req,1,0.00133967
Albert_Costa,enroll,1,0.29233027
Albert_Costa,as_req,1,0.28192091
Albert_Costa,tgs,1,0.00396514
Albert_Costa,ap_req,1,0.00135899
Alejandro_Toledo,enroll,1,0.29341412
Alejandro_Toledo,as_req,1,0.28566647
Alejandro_Toledo,tgs,1,0.00380301
Alejandro_Toledo,ap_req,1,0.00132489
Ali_Naimi,enroll,1,0.29314327
Ali_Naimi,as_req,1,0.28619885
Ali_Naimi,tgs,1,0.00373507
Ali_Naimi,ap_req,1,0.00128269
Alvaro_Uribe,enroll,1,0.29481506
Alvaro_Uribe,as_req,1,0.27684784
Alvaro_Uribe,tgs,1,0.00374269
Alvaro_Uribe,ap_req,1,0.00130129
Amelia_Vega,enroll,1,0.29674149
Amelia_Vega,as_req,0,0.00428271
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,enroll,1,0.29960752
Amelie_Mauresmo,as_req,1,0.29015255
Amelie_Mauresmo,tgs,1,0.00418806
Amelie_Mauresmo,ap_req,1,0.00147581
