group,n_users,genuine_rep_success_rate,genuine_signature_rate,impostor_signature_rate,tgt_success_rate,end_to_end_success_rate,setup_time_p50_ms,genuine_e2e_time_p50_ms,genuine_e2e_time_p95_ms,impostor_attempt_time_p50_ms,auth_request_bytes_p50
G1,10,0.90000000,0.90000000,0.00000000,0.90000000,0.90000000,289.13000000,274.41000000,278.74000000,4.26000000,287.00000000
G2,10,0.90000000,0.90000000,0.00000000,0.90000000,0.90000000,289.64000000,281.76000000,285.74000000,4.34000000,737.00000000
G3,10,0.90000000,0.90000000,0.00000000,0.90000000,0.90000000,291.84000000,283.68000000,292.37000000,4.23000000,737.00000000
