case_type,result,verify_authorize_ms,verify_st_ms,challenge_ms,total_ms,reject_stage,error,expected_error
legal,pass,260.90908051,291.67413712,260.90097427,1132.53421400,,,
legal,pass,266.83688164,268.76282692,274.31035042,1142.93126900,,,
legal,pass,265.74659348,259.90486145,256.48713112,1113.45285400,,,
legal,pass,265.94924927,272.05848694,269.74272728,1120.48716500,,,
legal,pass,263.62442970,264.15753365,267.80605316,1115.49521800,,,
legal,pass,257.56430626,264.93024826,275.82097054,1119.08479700,,,
legal,pass,257.42554665,257.18927383,268.63884926,1113.16284200,,,
legal,pass,254.31442261,256.31093979,278.27596664,1117.61195100,,,
legal,pass,266.99495316,278.26547623,262.66551018,1141.72368700,,,
legal,pass,262.66145706,273.42271805,259.72175598,1117.68974200,,,
expired,block,0.00000000,0.00000000,0.00000000,259.36022200,,,
expired,block,0.00000000,0.00000000,0.00000000,262.77802000,,,
expired,block,0.00000000,0.00000000,0.00000000,267.40073500,,,
expired,block,0.00000000,0.00000000,0.00000000,263.16701000,,,
expired,block,0.00000000,0.00000000,0.00000000,264.66515000,,,
expired,block,0.00000000,0.00000000,0.00000000,257.10695800,,,
expired,block,0.00000000,0.00000000,0.00000000,278.20107600,,,
expired,block,0.00000000,0.00000000,0.00000000,268.81014200,,,
expired,block,0.00000000,0.00000000,0.00000000,269.42498900,,,
expired,block,0.00000000,0.00000000,0.00000000,304.96027900,,,
replay,block,0.00000000,321.64645195,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,282.46688843,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,295.75610161,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,278.38826180,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,439.55993652,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,267.10867882,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,280.98344803,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,284.38854218,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,486.26732826,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,683.51101875,0.00000000,0.00000000,st,replay_detected,replay_detected
forged_auth,block,0.00000000,0.00000000,0.00000000,1482.33200000,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,893.81282800,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,1014.18681800,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,554.91877100,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,589.26131700,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,543.83611100,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,551.96470100,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,532.26982400,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,539.63113200,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,550.27192200,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,823.75588400,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,857.51859800,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,845.21982800,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,843.68899100,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,845.45423200,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,817.35042800,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,826.21329900,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,852.56078300,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,835.22601100,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,830.99255000,,,
did_spoofing,block,270.47920227,270.78676224,0,603.56508400,,,
did_spoofing,block,280.05623817,286.89908981,0,591.33526100,,,
did_spoofing,block,278.76782417,290.54069519,0,549.74130100,,,
did_spoofing,block,276.64947510,273.48423004,0,598.43387700,,,
did_spoofing,block,270.80607414,282.09161758,0,580.11154200,,,
did_spoofing,block,289.15882111,289.51644897,0,555.33081000,,,
did_spoofing,block,269.57726479,263.06748390,0,571.56546900,,,
did_spoofing,block,261.89517975,296.53501511,0,554.85152300,,,
did_spoofing,block,287.38379478,282.68551826,0,581.10113300,,,
did_spoofing,block,278.10978889,297.65295982,0,570.01295200,,,
unbound,block,0.00000000,0.00000000,0.00000000,567.01263600,,,
unbound,block,0.00000000,0.00000000,0.00000000,549.42220000,,,
unbound,block,0.00000000,0.00000000,0.00000000,538.44672900,,,
unbound,block,0.00000000,0.00000000,0.00000000,578.03981000,,,
unbound,block,0.00000000,0.00000000,0.00000000,538.95495000,,,
unbound,block,0.00000000,0.00000000,0.00000000,586.16470100,,,
unbound,block,0.00000000,0.00000000,0.00000000,568.52186000,,,
unbound,block,0.00000000,0.00000000,0.00000000,575.81225200,,,
unbound,block,0.00000000,0.00000000,0.00000000,592.51255700,,,
unbound,block,0.00000000,0.00000000,0.00000000,563.58936100,,,
#meta {"seed": 20260817, "n_per_case": 100, "n_replay": 1000}
