case_type,attempts,blocked,block_rate,total_p50_ms,total_p90_ms
did_spoofing,10,10,1.00000000,575.83850550,598.94699770
expired,10,10,1.00000000,266.03294250,280.87699630
forged_auth,10,10,1.00000000,553.44173600,1061.00133620
legal,10,0,0.00000000,1118.38726950,1141.84444520
replay,10,10,1.00000000,0.00000000,0.00000000
tampered_st,10,10,1.00000000,839.45750100,853.05656450
unbound,10,10,1.00000000,567.76724800,586.79948660
latency_breakdown,10,0,0.00000000,1118.38726950,1141.84444520
#meta {"seed": 20260817, "n_per_case": 100, "n_replay": 1000}
