scheme,concurrency,p50_ms,p90_ms,p99_ms,qps,msg_bytes
ours,10,30169.59611400,36378.41394010,39040.40149169,0.26338798,2258
ours,50,163433.00433550,167126.84190730,167406.98770968,0.20304125,2262
oauth,10,0.00067600,0.00216520,0.01259954,3049.92830224,115
oauth,50,0.00061250,0.00174500,0.00236586,2057.60808834,115
#meta {"seed": 20260817, "n_req": 50, "concurrency": [10, 50]}
