group,attack,victim,candidate_count,permutation,target_position,setup_time_ms,attack_time_ms,requests_sent,biometric_evaluations,blocked_requests,target_identified,false_accept,signature_issued,attempts_per_second
G0,candidate_scan,Abdullah_Gul,100,2,91,0.07000000,0.44000000,100,100,0,1,0,0,227827.49000000
G1,candidate_scan,Abdullah_Gul,100,2,91,1.81000000,360.11000000,92,92,0,1,0,1,255.48000000
G2,candidate_scan,Abdullah_Gul,100,2,91,141.70000000,508.15000000,92,92,0,1,0,1,181.05000000
G3,candidate_scan,Abdullah_Gul,100,2,91,145.63000000,15.11000000,4,3,1,0,0,0,264.72000000
G0,candidate_scan,Abdullah_Gul,100,3,48,0.06000000,0.43000000,100,100,0,1,0,0,230203.29000000
G1,candidate_scan,Abdullah_Gul,100,3,48,1.78000000,193.05000000,49,49,0,1,0,1,253.83000000
G2,candidate_scan,Abdullah_Gul,100,3,48,145.76000000,322.19000000,49,49,0,1,0,1,152.08000000
G3,candidate_scan,Abdullah_Gul,100,3,48,143.11000000,14.27000000,4,3,1,0,0,0,280.25000000
G0,candidate_scan,Abdullah_Gul,100,4,80,0.07000000,0.45000000,100,100,0,1,0,0,222509.50000000
G1,candidate_scan,Abdullah_Gul,100,4,80,1.75000000,318.90000000,81,81,0,1,0,1,254.00000000
G2,candidate_scan,Abdullah_Gul,100,4,80,144.24000000,441.16000000,81,81,0,1,0,1,183.61000000
G3,candidate_scan,Abdullah_Gul,100,4,80,153.76000000,14.68000000,4,3,1,0,0,0,272.45000000
G0,candidate_scan,Adrien_Brody,10,0,9,0.05000000,0.07000000,10,10,0,1,0,0,152520.15000000
G1,candidate_scan,Adrien_Brody,10,0,9,1.80000000,38.77000000,10,10,0,1,0,1,257.93000000
G2,candidate_scan,Adrien_Brody,10,0,9,153.61000000,144.08000000,10,10,0,1,0,1,69.40000000
G3,candidate_scan,Adrien_Brody,10,0,9,143.98000000,14.72000000,4,3,1,0,0,0,271.70000000
G0,candidate_scan,Adrien_Brody,10,1,9,0.06000000,0.07000000,10,10,0,1,0,0,151418.92000000
G1,candidate_scan,Adrien_Brody,10,1,9,1.76000000,39.45000000,10,10,0,1,0,1,253.48000000
G2,candidate_scan,Adrien_Brody,10,1,9,150.57000000,153.02000000,10,10,0,1,0,1,65.35000000
G3,candidate_scan,Adrien_Brody,10,1,9,143.05000000,14.68000000,4,3,1,0,0,0,272.39000000
G0,candidate_scan,Adrien_Brody,10,2,5,0.06000000,0.07000000,10,10,0,1,0,0,148734.18000000
G1,candidate_scan,Adrien_Brody,10,2,5,1.76000000,23.55000000,6,6,0,1,0,1,254.81000000
G2,candidate_scan,Adrien_Brody,10,2,5,145.64000000,129.53000000,6,6,0,1,0,1,46.32000000
G3,candidate_scan,Adrien_Brody,10,2,5,143.05000000,14.86000000,4,3,1,0,0,0,269.09000000
G0,candidate_scan,Adrien_Brody,10,3,1,0.06000000,0.07000000,10,10,0,1,0,0,147168.56000000
G1,candidate_scan,Adrien_Brody,10,3,1,1.72000000,7.47000000,2,2,0,1,0,1,267.66000000
G2,candidate_scan,Adrien_Brody,10,3,1,145.31000000,109.24000000,2,2,0,1,0,1,18.31000000
G3,candidate_scan,Adrien_Brody,10,3,1,145.63000000,109.39000000,2,2,0,1,0,1,18.28000000
G0,candidate_scan,Adrien_Brody,10,4,7,0.08000000,0.07000000,10,10,0,1,0,0,146653.99000000
G1,candidate_scan,Adrien_Brody,10,4,7,1.79000000,31.48000000,8,8,0,1,0,1,254.11000000
G2,candidate_scan,Adrien_Brody,10,4,7,150.18000000,135.42000000,8,8,0,1,0,1,59.07000000
G3,candidate_scan,Adrien_Brody,10,4,7,145.34000000,14.24000000,4,3,1,0,0,0,280.85000000
G0,candidate_scan,Adrien_Brody,50,0,36,0.06000000,0.24000000,50,50,0,1,0,0,212262.35000000
G1,candidate_scan,Adrien_Brody,50,0,36,1.79000000,145.86000000,37,37,0,1,0,1,253.67000000
G2,candidate_scan,Adrien_Brody,50,0,36,140.72000000,256.86000000,37,37,0,1,0,1,144.05000000
G3,candidate_scan,Adrien_Brody,50,0,36,146.45000000,14.23000000,4,3,1,0,0,0,281.05000000
G0,candidate_scan,Adrien_Brody,50,1,35,0.06000000,0.23000000,50,50,0,1,0,0,216647.93000000
G1,candidate_scan,Adrien_Brody,50,1,35,1.79000000,140.93000000,36,36,0,1,0,1,255.45000000
G2,candidate_scan,Adrien_Brody,50,1,35,145.16000000,255.68000000,36,36,0,1,0,1,140.80000000
G3,candidate_scan,Adrien_Brody,50,1,35,144.04000000,14.64000000,4,3,1,0,0,0,273.24000000
G0,candidate_scan,Adrien_Brody,50,2,8,0.06000000,0.24000000,50,50,0,1,0,0,207844.60000000
G1,candidate_scan,Adrien_Brody,50,2,8,1.75000000,35.04000000,9,9,0,1,0,1,256.86000000
G2,candidate_scan,Adrien_Brody,50,2,8,146.15000000,140.29000000,9,9,0,1,0,1,64.15000000
G3,candidate_scan,Adrien_Brody,50,2,8,151.70000000,14.60000000,4,3,1,0,0,0,273.97000000
