experiment,person,person_b,config,enroll_count,probe_path,probe_index,probe_bucket,in_balanced,in_extended,ok,byte_errors,theta_requested,theta_observed,seed
vote_gain,Adrien_Brody,,single,1,Adrien_Brody/Adrien_Brody_0012.jpg,6,additional_probe,0,1,0,32,,,
vote_gain,Adrien_Brody,,vote5,5,Adrien_Brody/Adrien_Brody_0012.jpg,6,additional_probe,0,1,1,24,,,
vote_gain,Al_Gore,,single,1,Al_Gore/Al_Gore_0006.jpg,0,first_probe,1,1,0,30,,,
vote_gain,Al_Gore,,vote5,5,Al_Gore/Al_Gore_0006.jpg,0,first_probe,1,1,1,21,,,
vote_gain,Al_Gore,,single,1,Al_Gore/Al_Gore_0007.jpg,1,additional_probe,0,1,0,30,,,
vote_gain,Al_Gore,,vote5,5,Al_Gore/Al_Gore_0007.jpg,1,additional_probe,0,1,0,30,,,
vote_gain,Al_Gore,,single,1,Al_Gore/Al_Gore_0008.jpg,2,additional_probe,0,1,0,29,,,
vote_gain,Al_Gore,,vote5,5,Al_Gore/Al_Gore_0008.jpg,2,additional_probe,0,1,1,26,,,
vote_gain,Al_Sharpton,,single,1,Al_Sharpton/Al_Sharpton_0006.jpg,0,first_probe,1,1,0,30,,,
vote_gain,Al_Sharpton,,vote5,5,Al_Sharpton/Al_Sharpton_0006.jpg,0,first_probe,1,1,1,19,,,
vote_gain,Al_Sharpton,,single,1,Al_Sharpton/Al_Sharpton_0007.jpg,1,additional_probe,0,1,0,29,,,
vote_gain,Al_Sharpton,,vote5,5,Al_Sharpton/Al_Sharpton_0007.jpg,1,additional_probe,0,1,1,22,,,
vote_gain,Albert_Costa,,single,1,Albert_Costa/Albert_Costa_0006.jpg,0,first_probe,1,1,0,29,,,
vote_gain,Albert_Costa,,vote5,5,Albert_Costa/Albert_Costa_0006.jpg,0,first_probe,1,1,1,20,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0006.jpg,0,first_probe,1,1,0,29,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0006.jpg,0,first_probe,1,1,1,18,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0007.jpg,1,additional_probe,0,1,1,28,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0007.jpg,1,additional_probe,0,1,1,16,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0008.jpg,2,additional_probe,0,1,0,30,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0008.jpg,2,additional_probe,0,1,1,22,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0009.jpg,3,additional_probe,0,1,0,30,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0009.jpg,3,additional_probe,0,1,1,19,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0010.jpg,4,additional_probe,0,1,1,27,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0010.jpg,4,additional_probe,0,1,1,24,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0011.jpg,5,additional_probe,0,1,0,30,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0011.jpg,5,additional_probe,0,1,1,19,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0012.jpg,6,additional_probe,0,1,0,31,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0012.jpg,6,additional_probe,0,1,1,23,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0013.jpg,7,additional_probe,0,1,1,28,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0013.jpg,7,additional_probe,0,1,1,22,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0014.jpg,8,additional_probe,0,1,0,30,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0014.jpg,8,additional_probe,0,1,1,21,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0015.jpg,9,additional_probe,0,1,0,29,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0015.jpg,9,additional_probe,0,1,1,23,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0016.jpg,10,additional_probe,0,1,0,29,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0016.jpg,10,additional_probe,0,1,1,24,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0017.jpg,11,additional_probe,0,1,0,31,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0017.jpg,11,additional_probe,0,1,1,21,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0018.jpg,12,additional_probe,0,1,1,28,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0018.jpg,12,additional_probe,0,1,1,21,,,
vote_gain,Alejandro_Toledo,,single,1,Alejandro_Toledo/Alejandro_Toledo_0019.jpg,13,additional_probe,0,1,0,31,,,
vote_gain,Alejandro_Toledo,,vote5,5,Alejandro_Toledo/Alejandro_Toledo_0019.jpg,13,additional_probe,0,1,1,21,,,
