group,n_users,genuine_rep_success_rate,genuine_signature_rate,impostor_signature_rate,tgt_success_rate,end_to_end_success_rate,latency_p50_ms,latency_p95_ms,message_bytes
G1,10,0.90000000,0.90000000,0.00000000,0.90000000,0.90000000,653.15000000,655.69000000,138
G2,10,0.90000000,0.90000000,0.00000000,0.90000000,0.90000000,651.95000000,661.93000000,737
G3,10,0.90000000,0.90000000,0.00000000,0.90000000,0.90000000,663.28000000,672.35000000,737
