person,step,ok,seconds
Abdullah_Gul,enroll,1,0.32823730
Abdullah_Gul,as_req,1,0.31801486
Abdullah_Gul,tgs,1,0.00466084
Abdullah_Gul,ap_req,1,0.00158191
Adrien_Brody,enroll,1,0.33089662
Adrien_Brody,as_req,1,0.31447506
Adrien_Brody,tgs,1,0.00467396
Adrien_Brody,ap_req,1,0.00153780
Al_Gore,enroll,1,0.32404804
Al_Gore,as_req,1,0.31112671
Al_Gore,tgs,1,0.00455546
Al_Gore,ap_req,1,0.00160146
Al_Sharpton,enroll,1,0.32265139
Al_Sharpton,as_req,1,0.31454682
Al_Sharpton,tgs,1,0.00484371
Al_Sharpton,ap_req,1,0.00161028
Albert_Costa,enroll,1,0.33739996
Albert_Costa,as_req,1,0.31050563
Albert_Costa,tgs,1,0.00472093
Albert_Costa,ap_req,1,0.00162077
Alejandro_Toledo,enroll,1,0.32885695
Alejandro_Toledo,as_req,1,0.31297493
Alejandro_Toledo,tgs,1,0.00403309
Alejandro_Toledo,ap_req,1,0.00147247
Ali_Naimi,enroll,1,0.32042861
Ali_Naimi,as_req,1,0.30310011
Ali_Naimi,tgs,1,0.00440431
Ali_Naimi,ap_req,1,0.00156212
Alvaro_Uribe,enroll,1,0.32336545
Alvaro_Uribe,as_req,1,0.32177639
Alvaro_Uribe,tgs,1,0.00467110
Alvaro_Uribe,ap_req,1,0.00169230
Amelia_Vega,enroll,1,0.32689595
Amelia_Vega,as_req,0,0.00456023
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,enroll,1,0.33633995
Amelie_Mauresmo,as_req,1,0.32834268
Amelie_Mauresmo,tgs,1,0.00478220
Amelie_Mauresmo,ap_req,1,0.00167084
