group,candidate_count,n_runs,target_identification_rate,false_accept_rate,blocked_run_rate,blocked_request_rate,signature_issuance_rate,mean_biometric_evaluations
G0,10,1,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.00000000
G0,50,1,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,50.00000000
G0,100,1,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,100.00000000
G1,10,1,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.00000000
G1,50,1,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,34.00000000
G1,100,1,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,46.00000000
G2,10,1,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.00000000
G2,50,1,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,34.00000000
G2,100,1,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,46.00000000
G3,10,1,0.00000000,0.00000000,1.00000000,0.25000000,0.00000000,3.00000000
G3,50,1,0.00000000,0.00000000,1.00000000,0.25000000,0.00000000,3.00000000
G3,100,1,0.00000000,0.00000000,1.00000000,0.25000000,0.00000000,3.00000000
