person,noise_type,intensity,ok,similarity,extract_failed
Ai_Sugiyama,gaussian,0.05000000,1,0.94905978,0
Ai_Sugiyama,gaussian,0.10000000,1,0.88433993,0
Ai_Sugiyama,gaussian,0.20000000,0,nan,1
Ai_Sugiyama,gaussian,0.30000000,0,nan,1
Ai_Sugiyama,brightness,1.00000000,1,1.00000000,0
Ai_Sugiyama,brightness,0.90000000,1,0.99943548,0
Ai_Sugiyama,brightness,0.80000000,1,0.99838352,0
Ai_Sugiyama,brightness,0.65000000,1,0.99509490,0
Ai_Sugiyama,brightness,0.50000000,1,0.99063814,0
Ai_Sugiyama,brightness,0.35000000,1,0.98252791,0
Ai_Sugiyama,rotation,0.00000000,1,1.00000000,0
Ai_Sugiyama,rotation,3.00000000,1,0.99790961,0
Ai_Sugiyama,rotation,6.00000000,1,0.99767470,0
Ai_Sugiyama,rotation,10.00000000,1,0.99719566,0
Ai_Sugiyama,rotation,15.00000000,1,0.99722624,0
Ai_Sugiyama,rotation,20.00000000,1,0.99233562,0
Ai_Sugiyama,blur,0.00000000,1,0.99700570,0
Ai_Sugiyama,blur,1.00000000,1,0.99636942,0
Ai_Sugiyama,blur,2.00000000,1,0.97817689,0
Ai_Sugiyama,blur,3.00000000,1,0.93580937,0
Ai_Sugiyama,blur,4.00000000,1,0.84394968,0
Ai_Sugiyama,blur,5.00000000,0,0.74036002,0
Ai_Sugiyama,occlusion,0.00000000,1,0.99811959,0
Ai_Sugiyama,occlusion,0.10000000,0,0.26044306,0
Ai_Sugiyama,occlusion,0.15000000,0,nan,1
Ai_Sugiyama,occlusion,0.20000000,0,nan,1
Ai_Sugiyama,occlusion,0.25000000,0,nan,1
Ai_Sugiyama,occlusion,0.30000000,0,nan,1
Al_Gore,gaussian,0.00000000,1,1.00000012,0
Al_Gore,gaussian,0.02000000,1,0.98516661,0
Al_Gore,gaussian,0.05000000,1,0.91865587,0
Al_Gore,gaussian,0.10000000,0,0.83802974,0
Al_Gore,gaussian,0.20000000,0,nan,1
Al_Gore,gaussian,0.30000000,0,nan,1
Al_Gore,brightness,1.00000000,1,1.00000012,0
Al_Gore,brightness,0.90000000,1,0.99935806,0
Al_Gore,brightness,0.80000000,1,0.99815607,0
Al_Gore,brightness,0.65000000,1,0.99549282,0
Al_Gore,brightness,0.50000000,1,0.99130750,0
Al_Gore,brightness,0.35000000,1,0.98513204,0
Al_Gore,rotation,0.00000000,1,1.00000012,0
Al_Gore,rotation,3.00000000,1,0.99786168,0
Al_Gore,rotation,6.00000000,1,0.99715948,0
Al_Gore,rotation,10.00000000,1,0.99645716,0
Al_Gore,rotation,15.00000000,1,0.99626493,0
Al_Gore,rotation,20.00000000,1,0.98953164,0
Al_Gore,blur,0.00000000,1,0.99774647,0
Al_Gore,blur,1.00000000,1,0.99732959,0
