noise_type,n_attempts,krr_overall,sim_mean,krr_worst
gaussian,2502,0.64108713,0.94030946,0.00000000
brightness,2502,0.99240608,0.99296636,0.99040767
rotation,2502,0.99040767,0.98987709,0.98800959
blur,2502,0.85131894,0.88140684,0.47961631
occlusion,2502,0.16666667,0.50252706,0.00000000
#meta {"seed": 20260817, "noise_types": "gaussian,brightness,rotation,blur,occlusion", "intensity_grid": "{'gaussian': [0.0, 0.02, 0.05, 0.1, 0.2, 0.3], 'brightness': [1.0, 0.9, 0.8, 0.65, 0.5, 0.35], 'rotation': [0.0, 3.0, 6.0, 10.0, 15.0, 20.0], 'blur': [0.0, 1.0, 2.0, 3.0, 4.0, 5.0], 'occlusion': [0.0, 0.1, 0.15, 0.2, 0.25, 0.3]}", "cohort_n": 417}
