person,step,ok,seconds
Abdullah_Gul,bio_rep,1,0.00538850
Abdullah_Gul,register,1,0.21985030
Abdullah_Gul,as_req,1,0.21740627
Abdullah_Gul,tgs,1,0.00545025
Abdullah_Gul,ap_req,1,0.00198555
Adrien_Brody,bio_rep,1,0.00498414
Adrien_Brody,register,1,0.21682143
Adrien_Brody,as_req,1,0.21736312
Adrien_Brody,tgs,1,0.00529122
Adrien_Brody,ap_req,1,0.00189853
Al_Gore,bio_rep,1,0.00486016
Al_Gore,register,1,0.21307111
Al_Gore,as_req,1,0.21012092
Al_Gore,tgs,1,0.00508261
Al_Gore,ap_req,1,0.00182891
Al_Sharpton,bio_rep,1,0.00453424
Al_Sharpton,register,1,0.20909762
Al_Sharpton,as_req,1,0.20746064
Al_Sharpton,tgs,1,0.00496268
Al_Sharpton,ap_req,1,0.00177193
Albert_Costa,bio_rep,1,0.00457764
Albert_Costa,register,1,0.20432425
Albert_Costa,as_req,1,0.20449805
Albert_Costa,tgs,1,0.00489426
Albert_Costa,ap_req,1,0.00172663
Alejandro_Toledo,bio_rep,1,0.00433159
Alejandro_Toledo,register,1,0.20488286
Alejandro_Toledo,as_req,1,0.20659351
Alejandro_Toledo,tgs,1,0.00483274
Alejandro_Toledo,ap_req,1,0.00179577
Ali_Naimi,bio_rep,1,0.00467277
Ali_Naimi,register,1,0.20607209
Ali_Naimi,as_req,1,0.20817113
Ali_Naimi,tgs,1,0.00505304
Ali_Naimi,ap_req,1,0.00181746
Alvaro_Uribe,bio_rep,1,0.00483155
Alvaro_Uribe,register,1,0.20520377
Alvaro_Uribe,as_req,1,0.20500994
Alvaro_Uribe,tgs,1,0.00491810
Alvaro_Uribe,ap_req,1,0.00174499
Amelia_Vega,bio_rep,0,0.00489831
Amelia_Vega,register,1,0.20601726
Amelia_Vega,as_req,0,0.00000000
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,bio_rep,1,0.00424004
Amelie_Mauresmo,register,1,0.20423865
Amelie_Mauresmo,as_req,1,0.20487523
Amelie_Mauresmo,tgs,1,0.00501060
Amelie_Mauresmo,ap_req,1,0.00183105
