case_type,attempts,blocked,block_rate,total_p50_ms,total_p90_ms
did_spoofing,100,100,1.00000000,321.23037150,327.58816770
expired,100,100,1.00000000,159.68204450,163.24140810
forged_auth,100,100,1.00000000,320.41893700,324.61161770
legal,100,0,0.00000000,676.45836150,683.84569190
replay,99,99,1.00000000,318.13477600,326.16670900
tampered_st,100,100,1.00000000,483.81544550,491.68477270
unbound,100,100,1.00000000,321.77252000,326.55847580
latency_breakdown,100,0,0.00000000,676.45836150,683.84569190
#meta {"seed": 20260817, "n_per_case": 100}
