N,scheme,admit_p50_ms,admit_p90_ms,payload_throughput_mbps,wire_throughput_mbps,e2e_latency_ms,loss_rate,relay_cpu_pct,relay_mem_mb,measurement_mode,relay_resource_isolation
10,st_ticket_sm9,817.60220500,828.85184720,0.55552000,0.57932800,57.97387200,0.00000000,nan,nan,in_memory_microbenchmark,0
10,openvpn,104.96741500,105.19280780,-1.00000000,-1.00000000,-1.00000000,-1.00000000,nan,nan,in_memory_microbenchmark,0
#meta {"seed": 20260817, "openvpn_dataplane": "simulated"}
