person,step,ok,seconds
Abdullah_Gul,bio_rep,1,0.00359750
Abdullah_Gul,register,1,0.16558433
Abdullah_Gul,as_req,1,0.16062856
Abdullah_Gul,tgs,1,0.00394773
Abdullah_Gul,ap_req,1,0.00142646
Adrien_Brody,bio_rep,1,0.00398946
Adrien_Brody,register,1,0.16281343
Adrien_Brody,as_req,1,0.15929437
Adrien_Brody,tgs,1,0.00399923
Adrien_Brody,ap_req,1,0.00138855
Al_Gore,bio_rep,1,0.00369573
Al_Gore,register,1,0.16116261
Al_Gore,as_req,1,0.16237235
Al_Gore,tgs,1,0.00386190
Al_Gore,ap_req,1,0.00133944
Al_Sharpton,bio_rep,1,0.00357795
Al_Sharpton,register,1,0.15933681
Al_Sharpton,as_req,1,0.16088367
Al_Sharpton,tgs,1,0.00382805
Al_Sharpton,ap_req,1,0.00140095
Albert_Costa,bio_rep,1,0.00362682
Albert_Costa,register,1,0.16239667
Albert_Costa,as_req,1,0.16213894
Albert_Costa,tgs,1,0.00381184
Albert_Costa,ap_req,1,0.00138402
Alejandro_Toledo,bio_rep,1,0.00349116
Alejandro_Toledo,register,1,0.16101980
Alejandro_Toledo,as_req,1,0.16089225
Alejandro_Toledo,tgs,1,0.00368357
Alejandro_Toledo,ap_req,1,0.00140071
Ali_Naimi,bio_rep,1,0.00383735
Ali_Naimi,register,1,0.16314530
Ali_Naimi,as_req,1,0.16424298
Ali_Naimi,tgs,1,0.00383520
Ali_Naimi,ap_req,1,0.00139189
Alvaro_Uribe,bio_rep,1,0.00378251
Alvaro_Uribe,register,1,0.16098690
Alvaro_Uribe,as_req,1,0.16458702
Alvaro_Uribe,tgs,1,0.00382900
Alvaro_Uribe,ap_req,1,0.00138116
Amelia_Vega,bio_rep,0,0.00397515
Amelia_Vega,register,1,0.16316605
Amelia_Vega,as_req,0,0.00000000
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,bio_rep,1,0.00330377
Amelie_Mauresmo,register,1,0.16215587
Amelie_Mauresmo,as_req,1,0.16601992
Amelie_Mauresmo,tgs,1,0.00385141
Amelie_Mauresmo,ap_req,1,0.00140524
