case_type,attempts,blocked,block_rate,total_p50_ms,total_p90_ms
did_spoofing,10,10,1.00000000,611.88817200,1853.32932760
expired,10,10,1.00000000,1171.91858850,1492.06352070
forged_auth,10,10,1.00000000,734.48681100,1939.90658590
legal,10,0,0.00000000,1324.09771900,1926.38593430
replay,10,10,1.00000000,0.00000000,0.00000000
tampered_st,10,10,1.00000000,1256.88586500,2412.55068210
unbound,10,10,1.00000000,630.36084500,647.71365520
latency_breakdown,10,0,0.00000000,1324.09771900,1926.38593430
#meta {"seed": 20260817, "n_per_case": 100, "n_replay": 1000}
