person,step,ok,seconds
Abdullah_Gul,enroll,1,0.33713865
Abdullah_Gul,as_req,1,0.32670712
Abdullah_Gul,tgs,1,0.00478125
Abdullah_Gul,ap_req,1,0.00163865
Adrien_Brody,enroll,1,0.33400583
Adrien_Brody,as_req,1,0.31589675
Adrien_Brody,tgs,1,0.00520706
Adrien_Brody,ap_req,1,0.00142264
Al_Gore,enroll,1,0.33017683
Al_Gore,as_req,1,0.31357932
Al_Gore,tgs,1,0.00474715
Al_Gore,ap_req,1,0.00163031
Al_Sharpton,enroll,1,0.32912540
Al_Sharpton,as_req,1,0.31005311
Al_Sharpton,tgs,1,0.00475383
Al_Sharpton,ap_req,1,0.00161266
Albert_Costa,enroll,1,0.32560086
Albert_Costa,as_req,1,0.31163526
Albert_Costa,tgs,1,0.00471687
Albert_Costa,ap_req,1,0.00168180
Alejandro_Toledo,enroll,1,0.32779002
Alejandro_Toledo,as_req,1,0.31218433
Alejandro_Toledo,tgs,1,0.00473619
Alejandro_Toledo,ap_req,1,0.00163245
Ali_Naimi,enroll,1,0.32675219
Ali_Naimi,as_req,1,0.31999421
Ali_Naimi,tgs,1,0.00482440
Ali_Naimi,ap_req,1,0.00163412
Alvaro_Uribe,enroll,1,0.33408976
Alvaro_Uribe,as_req,1,0.32434702
Alvaro_Uribe,tgs,1,0.00440955
Alvaro_Uribe,ap_req,1,0.00145721
Amelia_Vega,enroll,1,0.33211327
Amelia_Vega,as_req,0,0.00470114
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,enroll,1,0.33062983
Amelie_Mauresmo,as_req,1,0.31642318
Amelie_Mauresmo,tgs,1,0.00468969
Amelie_Mauresmo,ap_req,1,0.00158787
